Nama,Harga,Toko,Query
ZOTAC GAMING GeForce RTX 3060 Twin Edge 12GB GDDR6 - VGA Card,Rp4.699.000,JnJ Online,rtx 3060
MSI GeForce RTX 3060 VENTUS 2X 12GB OC GDDR6 - VGA Card,Rp5.449.000,JnJ Online,rtx 3060
GALAX NVIDIA GeForce RTX 3060 12GB DDR6 (1-Click OC) DUAL FAN RTX3060,Rp4.699.000,Starcomp Solo,rtx 3060
VGA Card Nvidia Geforce | GALAX RTX 3060 RTX3060 12GB 1-Click OC GDDR6 DDR6 | 36NOL7MD1VOC | 2 Dual Fan | Black Hitam | Garansi 3 Tahun,Rp4.960.000,UV Computer Mall,rtx 3060
VGA Card Nvidia Geforce | Palit RTX 3060 12GB Dual 12GB DDR6 GDDR6 | Black Hitam LED Dual 2 Fan | Garansi 3 Tahun,Rp4.805.000,UV Computer Mall,rtx 3060
MSI GeForce RTX3060 VENTUS 2X OC 12GB GDDR6 RTX 3060,Rp4.879.000,Starcomp Semarang,rtx 3060
Lenovo Legion 5 Pro 16ARH7 R7-6800H 16GB 1TB SSD RTX 3070 8GB W11,Rp24.560.000,Lenovo Autorized Cirebon,rtx 3070
VGA NVDIA EVGA XC3 ULTRA RTX 3070  / RTX3070 8GB GDDR6,Rp4.390.000,RedTeknologi-Redcom,rtx 3070
GAINWARD RTX 3070 TI / RTX 3070TI Phoenix 8GB GDDR6,Rp4.540.000,RedTeknologi-Redcom,rtx 3070
VGA ZOTAC GAMING RTX 3070 Ti / RTX 3070Ti TRINITY 8GB GDDR6X - 2ND,Rp4.815.000,RedTeknologi-Redcom,rtx 3070
NVDIA GEFORCE ASUS ROG STRIX GAMING RTX 3070/RTX3070 OC 8GB GDDR6 2ND,Rp5.315.000,RedTeknologi-Redcom,rtx 3070
VGA NVDIA MSI GEFORCE RTX 3070Ti / RTX 3070 TI VENTUS 3X OC 8GB DDR6X 256BIT - 2ND,Rp4.915.000,RedTeknologi-Redcom,rtx 3070
Colorful iGame VGA GeForce RTX 3070 / RTX3070 8GB Advanced OC-V 2ND,Rp4.499.999,RedTeknologi-Redcom,rtx 3070
MSI Geforce RTX 3070 Ventus 2X OC 8GB GDDR6 2ND VGA ONLY,Rp4.690.000,RedTeknologi-Redcom,rtx 3070
PALIT GEFORCE RTX 3070 TI / RTX3070TI GAMINGPRO 8GB GDDR6X 2nd,Rp5.290.000,RedTeknologi-Redcom,rtx 3070
COLORFUL IGAME RTX 3070 / RTX3070 8GB Ultra White 2nd,Rp4.290.000,RedTeknologi-Redcom,rtx 3070
Asus ROG Strix Gundam Edition GeForce RTX 3080 OC White 10GB GDDR6 2ND,Rp8.060.000,RedTeknologi-Redcom,rtx 3080
VGA PALIT GeForce RTX 3080 / RTX3080 GameRock 10 GB GDDR6 - 2ND,Rp5.820.000,RedTeknologi-Redcom,rtx 3080
MSI VGA GEFORCE RTX 3080 /RTX3080 SEA HAWK X LHR 10GB GDDR6X - 2ND,Rp6.060.000,RedTeknologi-Redcom,rtx 3080
VGA MSI RTX 3080 / RTX3080 10GB GAMING Z TRIO 10G GDDR6 2ND,Rp7.290.000,RedTeknologi-Redcom,rtx 3080
EVGA RTX 3080 FTW3 ULTRA EVGA RTX3080 FTW3 ULTRA LHR 2ND,Rp7.060.000,RedTeknologi-Redcom,rtx 3080
VGA NVDIA EVGA XC3 BLACK NVIDIA RTX 3080 / RTX3080 10GB GDDR6X,Rp6.560.000,RedTeknologi-Redcom,rtx 3080
VGA CARD / VGA NVIDIA MAXSUN RTX 3080 TI TURBO 12GB GDDR6X 384 BIT,Rp34.265.000,hans computer,rtx 3080
ManLi RTX 3080 10GB LHR - Manli Geforce RTX 3080 10GB DDR6,Rp15.900.000,hans computer,rtx 3080
PC Gaming | Ryzen 9 3900XT / 64GB / 1TB SSD / RTX 3080 10GB a.n isa,Rp73.750.000,OneLine Game PC,rtx 3080
PC Rakitan a.n Ario | Ryzen 9 5900X / RTX 3080 Ti / 32GB DDR4,Rp96.680.000,OneLine Game PC,rtx 3080
